Workout Date;Set;Weight (kg);Rep;MV (m/s)
15/02/2023;1;99.79;1;0.61
15/02/2023;1;99.79;2;0.72
15/02/2023;2;99.79;1;0.57
15/02/2023;2;99.79;2;0.52
15/02/2023;2;99.79;2;0.71
15/02/2023;2;99.79;3;0.66
15/02/2023;3;130.63;1;0.71
15/02/2023;3;130.63;2;0.6
15/02/2023;3;130.63;2;0.72
15/02/2023;3;130.63;3;0.68
15/02/2023;3;130.63;3;0.77
15/02/2023;3;130.63;4;0.6
15/02/2023;3;130.63;4;0.6
15/02/2023;3;130.63;5;0.54
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;1;2;1;
13/10/2022;2;2;1;
13/10/2022;2;2;1;
13/10/2022;2;2;1;
13/10/2022;2;2;1;
13/10/2022;2;2;1;
13/10/2022;2;2;1;
13/10/2022;2;2;1;
11/09/2022;1;150;1;0.55
11/09/2022;1;150;2;1.34
11/09/2022;1;150;2;0.54
11/09/2022;1;150;3;1.43
11/09/2022;2;170;1;0.43
11/09/2022;3;200;1;0.29
11/09/2022;3;200;2;1.21
11/09/2022;3;200;2;0.32
11/09/2022;3;200;3;1.13
11/09/2022;3;200;3;0.31
11/09/2022;3;200;4;1.31
11/09/2022;4;200;1;0.31
11/09/2022;4;200;2;1.32
11/09/2022;4;200;2;0.31
11/09/2022;4;200;3;1.33
11/09/2022;4;200;3;0.3
11/09/2022;4;200;4;1.17
11/09/2022;5;200;1;0.32
11/09/2022;5;200;2;1.36
11/09/2022;5;200;2;0.28
11/09/2022;5;200;3;1.33
11/09/2022;5;200;3;0.26
11/09/2022;5;200;4;1.09
08/09/2022;1;100;1;0.64
08/09/2022;1;100;2;0.72
08/09/2022;2;100;1;0.69
08/09/2022;2;100;2;0.71
08/09/2022;3;130;1;0.51
08/09/2022;3;130;2;0.68
08/09/2022;4;130;1;0.54
08/09/2022;4;130;2;0.62
08/09/2022;5;130;1;0.61
08/09/2022;5;130;2;0.86
08/09/2022;6;150;1;0.41
08/09/2022;6;150;2;0.73
08/09/2022;6;150;2;0.55
08/09/2022;6;150;3;1.16
08/09/2022;6;150;3;0.47
08/09/2022;6;150;4;1.23
08/09/2022;7;170;1;0.47
08/09/2022;7;170;2;1.17
08/09/2022;8;170;1;0.48
08/09/2022;8;170;2;1.18
08/09/2022;9;200;1;0.32
08/09/2022;9;200;2;1.13
02/09/2022;1;60;1;0.78
02/09/2022;1;60;2;0.49
02/09/2022;1;60;2;0.7
02/09/2022;1;60;3;0.54
02/09/2022;1;60;3;0.72
02/09/2022;1;60;4;0.57
02/09/2022;2;60;1;0.69
02/09/2022;2;60;2;0.59
02/09/2022;2;60;2;0.67
02/09/2022;2;60;3;0.72
02/09/2022;2;60;3;0.79
02/09/2022;2;60;4;0.69
02/09/2022;3;100;1;0.6
02/09/2022;3;100;2;0.66
02/09/2022;3;100;2;0.72
02/09/2022;3;100;3;0.89
02/09/2022;3;100;3;0.7
